Group,File
startup,game_poster_start
startup,game_start_button
ui_buttons,symbol_increase_bet
ui_buttons,symbol_decrease_bet
ui_buttons,symbol_wallet_balance
multiplier_templates,multiplier_x2_template
multiplier_templates,multiplier_x100_template
templates,scatter_template
symbols,symbol_A_letter
symbols,symbol_chili_pepper
symbols,symbol_girl
symbols,symbol_J_letter
symbols,symbol_K_letter
symbols,symbol_Q_letter
symbols,symbol_shawarma_taco
symbols,symbol_skull
symbols,symbol_sombrero
symbols,maracas_pair
rules_assets,symbol_winning_bet_lines
